Date/Time,Outdoor Temp,bldg0002642-up00_Tin,bldg0002642-up00_E,bldg0002642-up00_G
1900-07-25 19:00:00,26.454453462085723,23.888895037492173,4369054.716516245,0.0
1900-07-25 20:00:00,24.99195346208573,23.88889803092966,4844812.372193513,0.0
1900-07-25 21:00:00,24.30445346208573,23.888898132763202,4727702.219113883,0.0
1900-07-25 22:00:00,23.204453462085723,23.88890334689804,3304372.9135354734,0.0
1900-07-25 23:00:00,22.41695346208573,23.888903870778968,2586211.099991734,0.0
1900-07-26 00:00:00,21.879453462085724,23.888908090730812,2160081.015691908,0.0
1900-07-26 01:00:00,21.316953462085724,23.88890650652696,1781674.4101408944,0.0
1900-07-26 02:00:00,20.779453462085726,23.888903002500054,1408360.1404691753,0.0
1900-07-26 03:00:00,20.591953462085726,23.888898808253018,1121438.753227358,0.0
1900-07-26 04:00:00,20.216953462085726,23.88793304790722,815567.6002176242,0.0
